«ø∂»,æ‡¿Î
98,0.375999987
98,0.381999999
99,0.375999987
98,0.368000001
99,0.375999987
98,0.372000009
0, inf
0, inf
0, inf
0, inf
96,0.377999991
98,0.374000013
0, inf
0, inf
0, inf
96,0.365999997
96,0.374000013
96,0.368000001
0, inf
0, inf
0, inf
0, inf
97,0.35800001
96,0.361999989
95,0.356000006
95,0.349999994
95,0.35800001
96,0.354000002
97,0.360000014
94,0.354000002
97,0.356000006
97,0.349999994
0, inf
0, inf
0, inf
97,0.349999994
97,0.356000006
96,0.35800001
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
96,0.326000005
97,0.330000013
98,0.331999987
96,0.330000013
96,0.331999987
98,0.321999997
97,0.330000013
96,0.321999997
98,0.330000013
97,0.321999997
97,0.331999987
0, inf
0, inf
0, inf
100,0.324000001
99,0.321999997
0, inf
0, inf
0, inf
0, inf
97,0.319999993
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
98,0.30399999
98,0.310000002
97,0.30399999
0, inf
0, inf
0, inf
0, inf
0, inf
97,0.30399999
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
98,0.301999986
98,0.301999986
98,0.301999986
96,0.30399999
96,0.301999986
95,0.30399999
97,0.301999986
97,0.291999996
97,0.296000004
96,0.300000012
94,0.310000002
97,0.30399999
98,0.300000012
96,0.294
96,0.294
0, inf
0, inf
0, inf
0, inf
96,0.286000013
98,0.296000004
96,0.294
0, inf
0, inf
0, inf
0, inf
0, inf
96,0.289999992
97,0.291999996
95,0.296000004
93,0.300000012
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
95,0.289999992
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
93,0.270000011
93,0.275999993
94,0.282000005
92,0.282000005
93,0.277999997
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
88,0.282000005
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
87,0.273999989
85,0.280000001
85,0.280000001
86,0.277999997
86,0.277999997
86,0.275999993
87,0.272000015
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
92,0.254000008
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
91,0.261999995
91,0.266000003
91,0.263999999
93,0.257999986
0, inf
0, inf
0, inf
92,0.268000007
89,0.266000003
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
92,0.266000003
90,0.266000003
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
91,0.261999995
92,0.256000012
93,0.254000008
93,0.25
91,0.257999986
0, inf
0, inf
0, inf
90,0.261999995
0, inf
0, inf
0, inf
0, inf
0, inf
90,0.263999999
91,0.266000003
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
91,0.270000011
90,0.268000007
90,0.261999995
89,0.263999999
92,0.25999999
89,0.257999986
89,0.254000008
89,0.252000004
91,0.256000012
92,0.256000012
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
90,0.257999986
91,0.25999999
92,0.257999986
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
92,0.266000003
93,0.263999999
92,0.257999986
0, inf
0, inf
0, inf
0, inf
93,0.25999999
93,0.261999995
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
94,0.263999999
94,0.268000007
93,0.266000003
94,0.263999999
0, inf
0, inf
0, inf
0, inf
93,0.261999995
94,0.263999999
94,0.261999995
93,0.263999999
95,0.263999999
94,0.261999995
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
94,0.268000007
95,0.268000007
0, inf
0, inf
0, inf
94,0.268000007
96,0.273999989
95,0.270000011
94,0.263999999
97,0.272000015
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
96,0.273999989
94,0.272000015
94,0.266000003
94,0.273999989
96,0.273999989
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
95,0.277999997
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
95,0.289999992
95,0.296000004
94,0.289999992
96,0.289999992
95,0.298000008
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
96,0.300000012
97,0.298000008
96,0.298000008
95,0.300000012
96,0.30399999
96,0.296000004
96,0.298000008
96,0.300000012
95,0.300000012
96,0.291999996
96,0.298000008
96,0.301999986
95,0.298000008
97,0.30399999
96,0.300000012
96,0.30399999
96,0.307999998
0, inf
0, inf
0, inf
0, inf
96,0.30399999
97,0.301999986
97,0.300000012
97,0.300000012
96,0.300000012
98,0.300000012
97,0.307999998
96,0.305999994
97,0.298000008
98,0.305999994
0, inf
0, inf
0, inf
96,0.321999997
98,0.312000006
97,0.305999994
98,0.31400001
0, inf
0, inf
0, inf
0, inf
97,0.317999989
97,0.319999993
97,0.321999997
96,0.326000005
0, inf
0, inf
0, inf
0, inf
97,0.319999993
97,0.321999997
96,0.330000013
96,0.321999997
98,0.328000009
0, inf
0, inf
0, inf
