æ‡¿Î,«ø∂»
0.175999999,77
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
0.109999999,80
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
0.086000003,88
0.088,87
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
0.082000002,87
0.082000002,87
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
0.109999999,89
0.108000003,88
0.105999999,87
0.108000003,86
0.105999999,87
0.105999999,85
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
0.203999996,187
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
1.866000056,179
1.843999982,179
1.84800005,178
1.838000059,178
1.840000033,178
1.832000017,178
1.824000001,174
1.809999943,175
1.815999985,176
1.807999969,176
1.809999943,176
1.799999952,177
1.789999962,177
1.787999988,175
1.797999978,176
1.784000039,175
1.774000049,176
1.769999981,175
1.75999999,178
1.75999999,178
1.769999981,176
1.75999999,176
1.741999984,178
1.735999942,176
1.741999984,178
1.74000001,177
1.730000019,178
1.735999942,176
1.730000019,176
1.720000029,176
1.722000003,175
1.720000029,174
1.700000048,176
1.694000006,175
1.707999945,173
1.687999964,174
1.694000006,174
1.690000057,171
1.687999964,170
1.690000057,171
1.687999964,171
1.679999948,171
1.667999983,167
1.667999983,170
1.657999992,164
1.666000009,164
1.654000044,136
1.654000044,152
1.648000002,136
1.649999976,96
1.65199995,97
1.65199995,97
1.65199995,97
inf,0
inf,0
inf,0
inf,0
1.60800004,94
1.613999963,97
1.610000014,96
1.618000031,96
1.605999947,97
1.595999956,95
1.610000014,98
1.611999989,96
1.601999998,96
1.593999982,96
1.575999975,97
1.592000008,96
1.582000017,95
1.574000001,96
1.574000001,96
1.575999975,96
1.575999975,97
1.565999985,94
1.565999985,97
1.567999959,95
1.55400002,95
1.56400001,97
1.574000001,95
1.54400003,95
1.55400002,95
1.555999994,96
1.546000004,95
1.542000055,95
1.547999978,95
1.537999988,96
1.537999988,95
1.536000013,96
1.539999962,94
1.519999981,97
1.537999988,95
1.524000049,96
1.511999965,96
1.514000058,96
1.508000016,96
1.516000032,96
1.516000032,96
1.508000016,97
1.516000032,95
1.508000016,96
1.508000016,96
1.493999958,96
1.488000035,95
1.5,95
1.493999958,96
1.498000026,97
1.485999942,95
1.488000035,95
1.480000019,97
1.473999977,96
1.488000035,95
1.481999993,95
1.480000019,96
1.478000045,95
1.481999993,95
1.465999961,96
1.472000003,96
1.480000019,95
1.468000054,94
1.465999961,98
1.468000054,96
1.45599997,95
1.463999987,96
1.465999961,96
1.462000012,95
1.440000057,96
1.442000031,95
1.442000031,97
1.457999945,95
1.452000022,96
1.450000048,95
1.444000006,96
1.452000022,94
1.427999973,97
1.444000006,96
1.427999973,95
1.417999983,98
1.442000031,96
1.427999973,95
1.429999948,96
1.425999999,96
1.427999973,95
1.427999973,95
1.411999941,96
1.429999948,95
1.429999948,96
1.411999941,95
1.422000051,96
1.422000051,95
1.422000051,94
1.422000051,95
1.414000034,95
1.416000009,95
1.399999976,95
1.398000002,96
1.407999992,94
1.394000053,96
1.398000002,95
1.398000002,96
1.398000002,94
1.414000034,96
1.394000053,95
1.394000053,95
1.398000002,96
1.394000053,96
1.396000028,94
1.399999976,96
1.396000028,95
1.394000053,94
1.386000037,96
1.399999976,96
1.388000011,95
1.386000037,95
1.386000037,94
1.378000021,95
1.388000011,94
1.386000037,94
1.396000028,95
1.371999979,95
1.386000037,96
1.378000021,96
1.371999979,97
1.386000037,94
1.383999944,93
1.373999953,97
1.373999953,95
1.376000047,94
1.373999953,95
1.373999953,95
1.373999953,96
1.371999979,96
1.371999979,94
1.371999979,97
1.370000005,95
1.373999953,95
1.363999963,95
1.368000031,96
1.376000047,95
1.368000031,95
1.363999963,96
1.366000056,96
1.366000056,95
1.34800005,96
1.366000056,96
1.373999953,97
1.366000056,95
1.360000014,95
1.350000024,97
1.366000056,99
1.370000005,96
1.366000056,97
1.35800004,98
1.350000024,97
1.363999963,97
1.368000031,97
1.351999998,96
1.351999998,98
1.368000031,96
1.366000056,98
1.361999989,97
1.351999998,98
1.345999956,96
1.345999956,96
1.360000014,97
1.360000014,96
1.35800004,98
1.351999998,97
1.353999972,98
1.345999956,96
1.360000014,97
1.363999963,98
1.351999998,97
1.345999956,96
1.345999956,98
1.345999956,97
1.351999998,97
1.343999982,98
1.353999972,98
1.360000014,96
1.351999998,97
1.351999998,96
1.34800005,97
1.361999989,98
1.351999998,97
1.368000031,97
1.355999947,98
1.353999972,97
1.351999998,98
1.345999956,98
1.351999998,96
1.350000024,97
1.350000024,97
1.350000024,96
1.351999998,98
1.370000005,98
1.351999998,98
1.351999998,97
1.338000059,98
1.351999998,98
1.351999998,98
1.368000031,99
1.34800005,97
1.361999989,97
1.361999989,98
1.345999956,98
1.351999998,98
1.350000024,96
1.351999998,96
1.355999947,99
1.361999989,97
1.34800005,96
1.351999998,98
1.345999956,99
1.34800005,98
1.368000031,97
1.34800005,97
1.351999998,97
1.355999947,97
1.351999998,97
1.361999989,98
1.345999956,97
1.370000005,97
1.355999947,98
1.368000031,99
1.361999989,98
1.351999998,98
1.366000056,98
1.353999972,97
1.376000047,98
1.355999947,98
1.370000005,99
1.370000005,99
1.34800005,97
1.371999979,100
1.378000021,98
1.371999979,99
1.370000005,98
1.353999972,98
1.378000021,98
1.355999947,98
1.361999989,98
1.363999963,98
1.35800004,98
1.351999998,100
1.368000031,98
1.378000021,98
1.376000047,98
1.370000005,99
1.363999963,97
1.378000021,98
1.378000021,99
1.379999995,97
1.370000005,98
1.386000037,97
1.379999995,101
1.376000047,97
1.383999944,98
1.39199996,97
1.378000021,98
1.378000021,98
1.378000021,98
1.39199996,99
1.398000002,98
1.389999986,98
1.379999995,98
1.39199996,99
1.39199996,97
1.389999986,98
1.379999995,98
1.39199996,97
1.386000037,99
1.389999986,99
1.404000044,98
1.398000002,97
1.40199995,99
1.404000044,97
1.407999992,98
1.409999967,99
1.404000044,98
1.404000044,98
1.40199995,97
1.409999967,98
1.404000044,98
1.417999983,98
1.407999992,97
1.406000018,97
1.419999957,97
1.411999941,96
1.406000018,99
1.417999983,97
1.427999973,98
1.411999941,99
1.411999941,99
1.434000015,98
1.434000015,96
1.432000041,99
1.419999957,97
1.434000015,99
1.43599999,97
1.434000015,98
1.434000015,97
1.440000057,97
1.429999948,98
1.440000057,99
1.432000041,98
1.434000015,100
1.457999945,98
1.440000057,99
1.447999954,97
1.440000057,97
1.463999987,99
1.462000012,98
1.453999996,99
1.465999961,97
1.463999987,98
1.453999996,96
1.462000012,97
1.478000045,100
1.472000003,97
1.470000029,97
1.470000029,96
1.473999977,97
1.470000029,98
1.470000029,96
1.475999951,98
1.472000003,99
1.473999977,98
1.483999968,97
1.483999968,97
1.488000035,96
1.481999993,98
1.49000001,97
1.501999974,97
1.491999984,96
1.491999984,97
1.511999965,98
1.496000051,97
1.514000058,97
1.519999981,97
1.50999999,97
1.50999999,98
1.50999999,96
1.511999965,98
1.518000007,98
1.519999981,97
1.526000023,97
1.519999981,98
1.539999962,97
1.534000039,96
1.549999952,98
1.524000049,96
1.547999978,97
1.537999988,97
1.555999994,96
1.547999978,97
1.547999978,98
1.55400002,96
1.562000036,97
1.557999969,96
1.55400002,97
1.572000027,97
1.567999959,98
1.570000052,97
1.567999959,95
1.574000001,97
1.582000017,98
1.575999975,96
1.59800005,97
1.605999947,97
1.583999991,97
1.582000017,96
1.59800005,96
1.59800005,97
1.605999947,97
1.613999963,96
1.629999995,98
1.626000047,97
1.605999947,96
1.618000031,98
1.605999947,97
1.616000056,96
1.626000047,97
1.633999944,97
1.644000053,98
1.636000037,96
1.65199995,96
1.633999944,96
1.64199996,96
1.657999992,95
1.661999941,95
1.661999941,94
1.661999941,95
1.674000025,96
1.667999983,96
1.684000015,97
1.684000015,94
1.684000015,97
1.682000041,95
1.700000048,98
1.690000057,95
1.697999954,96
1.712000012,94
1.710000038,97
1.712000012,96
1.723999977,95
1.730000019,97
1.725999951,96
1.723999977,96
1.741999984,96
1.74000001,97
1.746000051,96
1.746000051,95
1.746000051,95
1.75999999,96
1.758000016,96
1.761999965,95
1.768000007,95
1.776000023,96
1.769999981,95
1.774000049,96
1.786000013,95
1.797999978,96
1.805999994,94
1.797999978,95
1.809999943,94
1.815999985,94
1.825999975,96
1.824000001,95
1.815999985,96
1.840000033,96
1.838000059,96
1.855999947,95
1.860000014,95
1.851999998,94
1.866000056,94
1.860000014,95
1.870000005,94
1.879999995,94
1.90199995,95
1.889999986,95
1.907999992,94
1.909999967,95
1.907999992,96
1.925999999,93
1.925999999,95
1.916000009,94
1.929999948,96
1.940000057,94
1.932000041,93
1.94599998,94
1.950000048,94
1.952000022,95
1.953999996,95
1.973999977,94
1.983999968,93
1.981999993,93
1.981999993,93
1.998000026,92
2.003999949,95
2.003999949,92
2.032000065,94
2.039999962,93
2.036000013,94
2.03399992,93
2.046000004,93
2.053999901,93
2.063999891,92
2.068000078,94
2.079999924,93
2.079999924,93
2.104000092,94
2.10800004,92
2.115999937,92
2.111999989,93
2.124000072,94
2.134000063,92
2.145999908,94
2.134000063,93
2.145999908,94
2.165999889,92
2.164000034,93
2.174000025,93
2.197999954,91
2.207999945,92
2.20600009,92
2.213999987,92
2.213999987,92
2.236000061,92
2.226000071,91
2.257999897,93
2.247999907,93
2.25999999,90
2.278000116,91
2.282000065,91
2.309999943,92
2.308000088,91
2.318000078,92
2.342000008,92
2.344000101,91
2.342000008,90
2.359999895,92
2.369999886,91
2.39199996,90
2.395999908,90
2.400000095,89
2.421999931,89
2.420000076,90
2.436000109,89
2.453999996,90
2.444000006,90
2.476000071,90
2.476000071,90
2.487999916,89
2.503999949,90
2.507999897,88
2.522000074,88
2.538000107,89
2.548000097,88
2.565999985,88
2.573999882,87
2.588000059,87
2.59800005,87
2.611999989,87
2.624000072,87
2.638000011,87
2.660000086,87
2.670000076,88
2.684000015,87
2.700000048,85
2.710000038,87
2.737999916,85
2.742000103,87
2.747999907,87
2.786000013,85
2.79399991,86
2.79399991,86
2.825999975,85
2.845999956,86
2.851999998,85
2.868000031,84
2.885999918,85
2.90199995,85
2.920000076,83
2.930000067,84
2.953999996,83
2.960000038,84
2.997999907,82
3.007999897,82
3.032000065,82
3.046000004,82
3.063999891,81
3.082000017,82
3.114000082,80
3.125999928,81
3.138000011,81
3.157999992,83
3.187999964,82
3.207999945,81
3.223999977,81
3.24000001,82
3.269999981,81
3.29399991,79
3.312000036,81
3.332000017,79
3.355999947,80
3.374000072,80
3.405999899,78
3.434000015,79
3.457999945,78
3.460000038,77
3.502000093,79
3.517999887,77
3.542000055,77
3.585999966,77
3.604000092,77
3.630000114,77
3.650000095,75
3.674000025,76
3.710000038,76
3.736000061,76
3.782000065,75
3.788000107,76
3.832000017,75
3.869999886,74
3.898000002,75
3.931999922,75
3.967999935,76
3.986000061,76
4.027999878,75
inf,0
inf,0
inf,0
6.366000175,127
6.361999989,75
6.361999989,74
6.340000153,74
6.346000195,75
6.352000237,75
6.329999924,74
6.342000008,74
6.328000069,75
6.31799984,75
6.311999798,75
6.306000233,76
6.297999859,75
6.28399992,75
6.276000023,76
6.282000065,75
6.274000168,75
6.274000168,75
6.254000187,74
6.254000187,75
6.263999939,76
6.260000229,76
6.234000206,74
6.242000103,75
6.228000164,75
6.231999874,77
6.211999893,76
6.21999979,75
6.21600008,75
6.222000122,76
6.203999996,75
6.196000099,77
6.208000183,77
6.184000015,75
6.193999767,74
6.190000057,73
6.197999954,68
6.28000021,67
6.383999825,65
6.481999874,65
6.572000027,63
6.671999931,62
6.768000126,63
6.90199995,63
7.001999855,61
7.104000092,61
7.231999874,63
7.34800005,60
7.46600008,61
7.585999966,60
7.734000206,59
7.855999947,61
8.012000084,58
8.159999847,58
8.295999527,58
8.454000473,57
8.631999969,58
8.798000336,55
8.951999664,53
8.916000366,55
8.833999634,54
8.781999588,42
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
11.51399994,26
11.75199986,28
12.06400013,29
12.40600014,33
12.88399982,49
13.17399979,51
13.22999954,57
13.23999977,57
13.25199986,58
13.24800014,58
13.25399971,57
13.30599976,57
13.33600044,58
13.34599972,53
13.34799957,40
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
13.35200024,20
13.35599995,22
13.3380003,0
13.34399986,0
13.34399986,17
13.34000015,29
13.31799984,43
13.31599998,55
13.29399967,62
13.31799984,63
13.30599976,59
13.31000042,58
13.30599976,55
13.32600021,44
13.32999992,29
13.33600044,36
13.35000038,44
13.35000038,52
13.35599995,54
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
9.126000404,0
9.010000229,10
8.93999958,0
8.866000175,10
8.807999611,13
inf,0
inf,0
inf,0
9.32199955,68
9.345999718,54
9.265999794,34
9,26
8.956000328,38
8.949999809,42
8.920000076,44
8.906000137,45
8.918000221,49
8.895999908,52
8.909999847,61
8.897999763,60
8.920000076,50
8.923999786,45
8.909999847,45
8.946000099,41
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
9.409999847,70
9.465999603,64
9.463999748,61
9.451999664,59
9.460000038,64
9.49600029,65
9.489999771,66
9.487999916,65
9.486000061,64
9.5,65
9.522000313,66
9.522000313,67
9.534000397,65
9.526000023,66
9.538000107,67
9.552000046,65
9.56799984,66
9.545999527,66
9.541999817,67
9.555999756,67
9.578000069,64
9.576000214,64
9.574000359,61
9.583999634,63
9.600000381,63
9.609999657,66
9.604000092,64
9.604000092,65
9.623999596,64
9.616000175,65
9.642000198,65
9.652000427,64
9.656000137,64
9.652000427,66
9.666000366,64
9.668000221,64
9.673999786,65
9.697999954,65
9.692000389,64
9.711999893,64
9.710000038,63
9.727999687,63
9.732000351,64
