angle,distance,intensity
-134.65,inf,0
-134.474,inf,0
-134.298,inf,0
-134.122,inf,0
-133.946,inf,0
-133.77,inf,0
-133.594,inf,0
-133.418,inf,0
-133.242,inf,0
-133.066,0.118000001,74
-132.89,inf,0
-132.714,inf,0
-132.538,inf,0
-132.362,inf,0
-132.186,inf,0
-132.01,inf,0
-131.834,inf,0
-131.658,inf,0
-131.482,inf,0
-131.306,inf,0
-131.13,inf,0
-130.954,inf,0
-130.778,inf,0
-130.602,inf,0
-130.426,inf,0
-130.25,inf,0
-130.074,inf,0
-129.898,inf,0
-129.722,inf,0
-129.546,inf,0
-129.37,inf,0
-129.194,inf,0
-129.018,inf,0
-128.842,inf,0
-128.666,inf,0
-128.49,inf,0
-128.314,inf,0
-128.138,inf,0
-127.962,inf,0
-127.786,inf,0
-127.61,inf,0
-127.434,inf,0
-127.258,inf,0
-127.082,inf,0
-126.906,inf,0
-126.73,inf,0
-126.554,inf,0
-126.378,inf,0
-126.202,inf,0
-126.026,inf,0
-125.85,inf,0
-125.674,inf,0
-125.498,inf,0
-125.322,inf,0
-125.146,inf,0
-124.97,inf,0
-124.794,inf,0
-124.618,inf,0
-124.442,inf,0
-124.266,inf,0
-124.09,inf,0
-123.914,inf,0
-123.738,inf,0
-123.562,inf,0
-123.386,inf,0
-123.21,inf,0
-123.034,inf,0
-122.858,inf,0
-122.682,inf,0
-122.506,inf,0
-122.33,inf,0
-122.154,inf,0
-121.978,inf,0
-121.802,inf,0
-121.626,inf,0
-121.45,inf,0
-121.274,inf,0
-121.098,inf,0
-120.922,inf,0
-120.746,inf,0
-120.57,inf,0
-120.394,inf,0
-120.218,inf,0
-120.042,inf,0
-119.866,inf,0
-119.69,inf,0
-119.514,inf,0
-119.338,inf,0
-119.162,inf,0
-118.986,inf,0
-118.81,inf,0
-118.634,inf,0
-118.458,inf,0
-118.282,inf,0
-118.106,inf,0
-117.93,inf,0
-117.754,inf,0
-117.578,inf,0
-117.402,inf,0
-117.226,inf,0
-117.05,inf,0
-116.874,inf,0
-116.698,inf,0
-116.522,inf,0
-116.346,inf,0
-116.17,inf,0
-115.994,inf,0
-115.818,inf,0
-115.642,inf,0
-115.466,inf,0
-115.29,inf,0
-115.114,inf,0
-114.938,inf,0
-114.762,inf,0
-114.586,inf,0
-114.41,0.097999997,84
-114.234,0.097999997,84
-114.058,inf,0
-113.882,inf,0
-113.706,inf,0
-113.53,inf,0
-113.354,inf,0
-113.178,inf,0
-113.002,inf,0
-112.826,inf,0
-112.65,inf,0
-112.474,inf,0
-112.298,inf,0
-112.122,inf,0
-111.946,inf,0
-111.77,inf,0
-111.594,inf,0
-111.418,inf,0
-111.242,inf,0
-111.066,inf,0
-110.89,inf,0
-110.714,inf,0
-110.538,inf,0
-110.362,inf,0
-110.186,inf,0
-110.01,inf,0
-109.834,inf,0
-109.658,inf,0
-109.482,inf,0
-109.306,inf,0
-109.13,inf,0
-108.954,inf,0
-108.778,inf,0
-108.602,inf,0
-108.426,inf,0
-108.25,inf,0
-108.074,inf,0
-107.898,inf,0
-107.722,inf,0
-107.546,inf,0
-107.37,inf,0
-107.194,inf,0
-107.018,inf,0
-106.842,inf,0
-106.666,inf,0
-106.49,inf,0
-106.314,inf,0
-106.138,inf,0
-105.962,inf,0
-105.786,inf,0
-105.61,inf,0
-105.434,inf,0
-105.258,inf,0
-105.082,inf,0
-104.906,inf,0
-104.73,inf,0
-104.554,inf,0
-104.378,inf,0
-104.202,inf,0
-104.026,inf,0
-103.85,inf,0
-103.674,inf,0
-103.498,inf,0
-103.322,inf,0
-103.146,inf,0
-102.97,inf,0
-102.794,inf,0
-102.618,inf,0
-102.442,inf,0
-102.266,inf,0
-102.09,inf,0
-101.914,inf,0
-101.738,0.118000001,85
-101.562,0.115999997,86
-101.386,inf,0
-101.21,inf,0
-101.034,inf,0
-100.858,inf,0
-100.682,inf,0
-100.506,inf,0
-100.33,inf,0
-100.154,inf,0
-99.978,inf,0
-99.802,inf,0
-99.626,inf,0
-99.45,inf,0
-99.274,inf,0
-99.098,inf,0
-98.922,inf,0
-98.746,inf,0
-98.57,inf,0
-98.394,inf,0
-98.218,inf,0
-98.042,inf,0
-97.866,inf,0
-97.69,inf,0
-97.514,inf,0
-97.338,inf,0
-97.162,inf,0
-96.986,inf,0
-96.81,inf,0
-96.634,inf,0
-96.458,inf,0
-96.282,inf,0
-96.106,inf,0
-95.93,inf,0
-95.754,inf,0
-95.578,inf,0
-95.402,inf,0
-95.226,inf,0
-95.05,inf,0
-94.874,inf,0
-94.698,inf,0
-94.522,inf,0
-94.346,inf,0
-94.17,inf,0
-93.994,inf,0
-93.818,inf,0
-93.642,inf,0
-93.466,inf,0
-93.29,inf,0
-93.114,inf,0
-92.938,inf,0
-92.762,inf,0
-92.586,inf,0
-92.41,inf,0
-92.234,inf,0
-92.058,inf,0
-91.882,inf,0
-91.706,inf,0
-91.53,inf,0
-91.354,inf,0
-91.178,inf,0
-91.002,inf,0
-90.826,inf,0
-90.65,inf,0
-90.474,inf,0
-90.298,inf,0
-90.122,inf,0
-89.946,inf,0
-89.77,inf,0
-89.594,inf,0
-89.418,inf,0
-89.242,inf,0
-89.066,inf,0
-88.89,inf,0
-88.714,inf,0
-88.538,inf,0
-88.362,inf,0
-88.186,inf,0
-88.01,inf,0
-87.834,inf,0
-87.658,inf,0
-87.482,inf,0
-87.306,inf,0
-87.13,inf,0
-86.954,inf,0
-86.778,inf,0
-86.602,inf,0
-86.426,inf,0
-86.25,inf,0
-86.074,inf,0
-85.898,inf,0
-85.722,inf,0
-85.546,inf,0
-85.37,inf,0
-85.194,inf,0
-85.018,inf,0
-84.842,inf,0
-84.666,inf,0
-84.49,inf,0
-84.314,inf,0
-84.138,4.524000168,134
-83.962,4.53000021,135
-83.786,4.53000021,139
-83.61,4.544000149,134
-83.434,4.53399992,135
-83.258,4.527999878,123
-83.082,4.532000065,108
-82.906,4.550000191,103
-82.73,inf,0
-82.554,inf,0
-82.378,inf,0
-82.202,inf,0
-82.026,inf,0
-81.85,inf,0
